N,EHC
339,0.001617432
340,0.001617432
341,0.001617432
342,0.001617432
343,0.001617432
344,0.001617432
345,0.001617432
346,0.001617432
347,0.001617432
348,0.001617432
349,0.001617432
350,0.001617432
351,0.001617432
352,0.001617432
353,0.001617432
354,0.001617432
355,0.001617432
356,0.001617432
357,0.001617432
358,0.001617432
359,0.001617432
360,0.001617432
361,0.001617432
362,0.001617432
363,0.001617432
364,0.001617432
365,0.001617432
366,0.001617432
367,0.001617432
368,0.001617432
369,0.001617432
370,0.001556396
371,0.001556396
372,0.001556396
373,0.001556396
374,0.001556396
375,0.001556396
376,0.001556396
377,0.001556396
378,0.001556396
379,0.001556396
380,0.001556396
381,0.001556396
382,0.001556396
383,0.001556396
384,0.001556396
385,0.001556396
386,0.001556396
387,0.001556396
388,0.001556396
389,0.001556396
390,0.001556396
391,0.001556396
392,0.001556396
393,0.001556396
394,0.001556396
395,0.001556396
396,0.001556396
397,0.001556396
398,0.001556396
399,0.001556396
400,0.001556396
401,0.001556396
402,0.001556396
403,0.001556396
404,0.001556396
405,0.001556396
406,0.001556396
407,0.001556396
408,0.001556396
409,0.001556396
410,0.001556396
411,0.001556396
412,0.001556396
413,0.001556396
414,0.001556396
415,0.001556396
416,0.001556396
417,0.001556396
418,0.001556396
419,0.001556396
420,0.001556396
421,0.001556396
422,0.001556396
423,0.001495361
424,0.001495361
425,0.001495361
426,0.001495361
427,0.001495361
428,0.001495361
429,0.001495361
430,0.001495361
431,0.001495361
432,0.001495361
433,0.001495361
434,0.001495361
435,0.001495361
436,0.001495361
437,0.001495361
438,0.001495361
439,0.001495361
440,0.001495361
441,0.001495361
442,0.001495361
443,0.001495361
444,0.001495361
445,0.001495361
446,0.001495361
447,0.001495361
448,0.001495361
449,0.001495361
450,0.001495361
451,0.001495361
452,0.001495361
453,0.001495361
454,0.001495361
455,0.001495361
456,0.001495361
457,0.001495361
458,0.001495361
459,0.001495361
460,0.001495361
461,0.001495361
462,0.001495361
463,0.001495361
464,0.001495361
465,0.001495361
466,0.001495361
467,0.001495361
468,0.001495361
469,0.001495361
470,0.001495361
471,0.001495361
472,0.001495361
473,0.001495361
474,0.001495361
475,0.001495361
476,0.001495361
477,0.001495361
478,0.001495361
479,0.001495361
480,0.001495361
481,0.001495361
482,0.001495361
483,0.001495361
484,0.001495361
485,0.001495361
486,0.001495361
487,0.001495361
488,0.001495361
489,0.001434326
490,0.001434326
491,0.001434326
492,0.001434326
493,0.001434326
494,0.001434326
495,0.001434326
496,0.001434326
497,0.001434326
498,0.001434326
499,0.001434326
500,0.001434326
501,0.001434326
502,0.001434326
503,0.001434326
504,0.001434326
505,0.001434326
506,0.001434326
507,0.001434326
508,0.001434326
509,0.001434326
510,0.001434326
511,0.001434326
512,0.001434326
513,0.001434326
514,0.001434326
515,0.001434326
516,0.001434326
517,0.001434326
518,0.001434326
519,0.001434326
520,0.001434326
521,0.001434326
522,0.001434326
523,0.001434326
524,0.001434326
525,0.001434326
526,0.001434326
527,0.001434326
528,0.001434326
529,0.001434326
530,0.001434326
531,0.001434326
532,0.001434326
533,0.001434326
534,0.001434326
535,0.001434326
536,0.001434326
537,0.001434326
538,0.001434326
539,0.001434326
540,0.001434326
541,0.001434326
542,0.001434326
543,0.001434326
544,0.001434326
545,0.001434326
546,0.001434326
547,0.001434326
548,0.001434326
549,0.001434326
550,0.001434326
551,0.001434326
552,0.001434326
553,0.001434326
554,0.001434326
555,0.001434326
556,0.001434326
557,0.001434326
558,0.001434326
559,0.001434326
560,0.001434326
561,0.001434326
562,0.001434326
563,0.001434326
564,0.001434326
565,0.001434326
566,0.001434326
567,0.001434326
568,0.001434326
569,0.001434326
570,0.001434326
571,0.001434326
572,0.001373291
573,0.001373291
574,0.001373291
575,0.001373291
576,0.001373291
577,0.001373291
578,0.001373291
579,0.001373291
580,0.001373291
581,0.001373291
582,0.001373291
583,0.001373291
584,0.001373291
585,0.001373291
586,0.001373291
587,0.001373291
588,0.001373291
589,0.001373291
590,0.001373291
591,0.001373291
592,0.001373291
593,0.001373291
594,0.001373291
595,0.001373291
596,0.001373291
597,0.001373291
598,0.001373291
599,0.001373291
600,0.001373291
601,0.001373291
602,0.001373291
603,0.001373291
604,0.001373291
605,0.001373291
606,0.001373291
607,0.001373291
608,0.001373291
609,0.001373291
610,0.001373291
611,0.001373291
612,0.001373291
613,0.001373291
614,0.001373291
615,0.001373291
616,0.001373291
617,0.001373291
618,0.001373291
619,0.001373291
620,0.001373291
621,0.001373291
622,0.001373291
623,0.001373291
624,0.001373291
625,0.001373291
626,0.001373291
627,0.001373291
628,0.001373291
629,0.001373291
630,0.001373291
631,0.001373291
632,0.001373291
633,0.001373291
634,0.001373291
635,0.001373291
636,0.001373291
637,0.001373291
638,0.001373291
639,0.001373291
640,0.001373291
641,0.001373291
642,0.001373291
643,0.001373291
644,0.001373291
645,0.001373291
646,0.001373291
647,0.001373291
648,0.001373291
649,0.001373291
650,0.001373291
651,0.001373291
652,0.001373291
653,0.001373291
654,0.001373291
655,0.001373291
656,0.001373291
657,0.001373291
658,0.001373291
659,0.001373291
660,0.001373291
661,0.001373291
662,0.001373291
663,0.001373291
664,0.001373291
665,0.001373291
666,0.001373291
667,0.001373291
668,0.001373291
669,0.001373291
670,0.001373291
671,0.001373291
672,0.001373291
673,0.001373291
674,0.001373291
675,0.001373291
676,0.001373291
677,0.001312256
678,0.001312256
679,0.001312256
680,0.001312256
681,0.001312256
682,0.001312256
683,0.001312256
684,0.001312256
685,0.001312256
686,0.001312256
687,0.001312256
688,0.001312256
689,0.001312256
690,0.001312256
691,0.001312256
692,0.001312256
693,0.001312256
694,0.001312256
695,0.001312256
696,0.001312256
697,0.001312256
698,0.001312256
699,0.001312256
700,0.001312256
701,0.001312256
702,0.001312256
703,0.001312256
704,0.001312256
705,0.001312256
706,0.001312256
707,0.001312256
708,0.001312256
709,0.001312256
710,0.001312256
711,0.001312256
712,0.001312256
713,0.001312256
714,0.001312256
715,0.001312256
716,0.001312256
717,0.001312256
718,0.001312256
719,0.001312256
720,0.001312256
721,0.001312256
722,0.001312256
723,0.001312256
724,0.001312256
725,0.001312256
726,0.001312256
727,0.001312256
728,0.001312256
729,0.001312256
730,0.001312256
731,0.001312256
732,0.001312256
733,0.001312256
734,0.001312256
735,0.001312256
736,0.001312256
737,0.001312256
738,0.001312256
739,0.001312256
740,0.001312256
741,0.001312256
742,0.001312256
743,0.001312256
744,0.001312256
745,0.001312256
746,0.001312256
747,0.001312256
748,0.001312256
749,0.001312256
750,0.001312256
751,0.001312256
752,0.001312256
753,0.001312256
754,0.001312256
755,0.001312256
756,0.001312256
757,0.001312256
758,0.001312256
759,0.001312256
760,0.001312256
761,0.001312256
762,0.001312256
763,0.001312256
764,0.001312256
765,0.001312256
766,0.001312256
767,0.001312256
768,0.001312256
769,0.001312256
770,0.001312256
771,0.001312256
772,0.001312256
773,0.001312256
774,0.001312256
775,0.001312256
776,0.001312256
777,0.001312256
778,0.001312256
779,0.001312256
780,0.001312256
781,0.001312256
782,0.001312256
783,0.001312256
784,0.001312256
785,0.001312256
786,0.001312256
787,0.001312256
788,0.001312256
789,0.001312256
790,0.001312256
791,0.001312256
792,0.001312256
793,0.001312256
794,0.001312256
795,0.001312256
796,0.001312256
797,0.001312256
798,0.001312256
799,0.001312256
800,0.001312256
801,0.001312256
802,0.001312256
803,0.001312256
804,0.001312256
805,0.001312256
806,0.001312256
807,0.001312256
808,0.001312256
809,0.001312256
810,0.001312256
811,0.001251221
812,0.001251221
813,0.001251221
814,0.001251221
815,0.001251221
816,0.001251221
817,0.001251221
818,0.001251221
819,0.001251221
820,0.001251221
821,0.001251221
822,0.001251221
823,0.001251221
824,0.001251221
825,0.001251221
826,0.001251221
827,0.001251221
828,0.001251221
829,0.001251221
830,0.001251221
831,0.001251221
832,0.001251221
833,0.001251221
834,0.001251221
835,0.001251221
836,0.001251221
837,0.001251221
838,0.001251221
839,0.001251221
840,0.001251221
841,0.001251221
842,0.001251221
843,0.001251221
844,0.001251221
845,0.001251221
846,0.001251221
847,0.001251221
848,0.001251221
849,0.001251221
850,0.001251221
851,0.001251221
852,0.001251221
853,0.001251221
854,0.001251221
855,0.001251221
856,0.001251221
857,0.001251221
858,0.001251221
859,0.001251221
860,0.001251221
861,0.001251221
862,0.001251221
863,0.001251221
864,0.001251221
865,0.001251221
866,0.001251221
867,0.001251221
868,0.001251221
869,0.001251221
870,0.001251221
871,0.001251221
872,0.001251221
873,0.001251221
874,0.001251221
875,0.001251221
876,0.001251221
877,0.001251221
878,0.001251221
879,0.001251221
880,0.001251221
881,0.001251221
882,0.001251221
883,0.001251221
884,0.001251221
885,0.001251221
886,0.001251221
887,0.001251221
888,0.001251221
889,0.001251221
890,0.001251221
891,0.001251221
892,0.001251221
893,0.001251221
894,0.001251221
895,0.001251221
896,0.001251221
897,0.001251221
898,0.001251221
899,0.001251221
900,0.001251221
901,0.001251221
902,0.001251221
903,0.001251221
904,0.001251221
905,0.001251221
906,0.001251221
907,0.001251221
908,0.001251221
909,0.001251221
910,0.001251221
911,0.001251221
912,0.001251221
913,0.001251221
914,0.001251221
915,0.001251221
916,0.001251221
917,0.001251221
918,0.001251221
919,0.001251221
920,0.001251221
921,0.001251221
922,0.001251221
923,0.001251221
924,0.001251221
925,0.001251221
926,0.001251221
927,0.001251221
928,0.001251221
929,0.001251221
930,0.001251221
931,0.001251221
932,0.001251221
933,0.001251221
934,0.001251221
935,0.001251221
936,0.001251221
937,0.001251221
938,0.001251221
939,0.001251221
940,0.001251221
941,0.001251221
942,0.001251221
943,0.001251221
944,0.001251221
945,0.001251221
946,0.001251221
947,0.001251221
948,0.001251221
949,0.001251221
950,0.001251221
951,0.001251221
952,0.001251221
953,0.001251221
954,0.001251221
955,0.001251221
956,0.001251221
957,0.001251221
958,0.001251221
959,0.001251221
960,0.001251221
961,0.001251221
962,0.001251221
963,0.001251221
964,0.001251221
965,0.001251221
966,0.001251221
967,0.001251221
968,0.001251221
969,0.001251221
970,0.001251221
971,0.001251221
972,0.001251221
973,0.001251221
974,0.001251221
975,0.001251221
976,0.001251221
977,0.001251221
978,0.001251221
979,0.001251221
980,0.001251221
981,0.001251221
982,0.001251221
983,0.001251221
984,0.001251221
985,0.001251221
986,0.001251221
987,0.001251221
988,0.001190186
989,0.001190186
990,0.001190186
991,0.001190186
992,0.001190186
993,0.001190186
994,0.001190186
995,0.001190186
996,0.001190186
997,0.001190186
998,0.001190186
999,0.001190186
1000,0.001190186
